         20636979 function calls (20628057 primitive calls) in 9.734 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   388654    2.199    0.000    8.920    0.000 D:\git\performance-rrt\core\python_impl\rrt_star_numpy_opt.py:41(segments_intersect)
   388620    1.692    0.000    4.131    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\linalg\_linalg.py:320(solve)
   388654    0.999    0.000    2.156    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\linalg\_linalg.py:2331(det)
   777274    0.719    0.000    1.488    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\linalg\_linalg.py:148(_commonType)
  2000492    0.313    0.000    0.466    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\linalg\_linalg.py:128(isComplexType)
  1165963    0.300    0.000    0.300    0.000 {built-in method numpy.zeros}
   388654    0.298    0.000    0.298    0.000 {method 'astype' of 'numpy.generic' objects}
   777240    0.281    0.000    0.449    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\linalg\_linalg.py:123(_makearray)
  3223710    0.266    0.000    0.266    0.000 {built-in method builtins.issubclass}
  1165894    0.246    0.000    0.388    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\linalg\_linalg.py:142(_realType)
   388620    0.190    0.000    0.380    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\_core\_ufunc_config.py:440(__enter__)
   777274    0.189    0.000    0.189    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\linalg\_linalg.py:198(_assert_stacked_square)
   444414    0.173    0.000    9.093    0.000 D:\git\performance-rrt\core\python_impl\rrt_star_numpy_opt.py:87(<genexpr>)
   777274    0.160    0.000    0.160    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\linalg\_linalg.py:192(_assert_stacked_2d)
  1165948    0.142    0.000    0.142    0.000 {method 'get' of 'dict' objects}
  1223218    0.130    0.000    0.130    0.000 {built-in method numpy.asarray}
